,Pers.No.,department,Gender Key,Marital Status Key,No.ch,Age of employee,age_class,Certificate
45,AACCJAUI,CM,Male,Marr.,1,43,40~50,Bachelor
46,AACECCCS,CC,Female,Marr.,1,37,30~40,Bachelor
47,AACECCUA,BBSD,Male,Marr.,1,41,40~50,Bachelor
48,AACECEJR,CC,Female,Marr.,1,46,40~50,Bachelor
49,AACECRRQ,AE,Female,Marr.,2,38,30~40,Bachelor
50,AACECSSI,AE,Male,Marr.,2,39,30~40,Bachelor
51,AACECICU,AE,Female,Marr.,1,40,40~50,Bachelor
52,AACECUCR,AE,Male,Marr.,1,39,30~40,Bachelor
53,AACECURC,AE,Male,Marr.,1,38,30~40,Bachelor
54,AACECUSJ,AE,Male,Marr.,1,42,40~50,Bachelor
55,AACECLEJ,PA,Male,Marr.,1,39,30~40,Bachelor
56,AACECLIL,AE,Male,Marr.,0,38,30~40,Bachelor
57,AACECLLI,AE,Male,Marr.,1,41,40~50,College
58,AACECLQS,PA,Male,Marr.,1,39,30~40,College
59,AACECLJE,AE,Male,Marr.,1,38,30~40,Bachelor
60,AACECASS,AE,Female,Marr.,1,38,30~40,Bachelor
61,AACECJCI,AE,Female,Marr.,1,43,40~50,Master
62,AACEECIA,CC,Male,Marr.,1,45,40~50,Bachelor
63,AACEECAI,AE,Male,Marr.,1,40,40~50,Master
64,AACEEEJE,RBAC,Female,Marr.,0,43,40~50,Bachelor
65,AACEERSU,RBAC,Male,Marr.,1,45,40~50,Junior High School
66,AACEERQE,AE,Male,Marr.,1,40,40~50,Bachelor
67,AACEERJJ,AE,Male,Marr.,1,39,30~40,Technical School
68,AACEESCL,AE,Male,Marr.,1,41,40~50,Bachelor
69,AACEEIES,AE,Male,Marr.,2,35,30~40,Senior High School
70,AACEEISE,AE,Male,Marr.,1,37,30~40,Technical School
71,AACEEUEC,AE,Male,Single,0,52,>=50,College
72,AACEEQRU,AE,Male,Single,0,32,30~40,Technical School
73,AACEEQIS,AE,Female,Marr.,1,38,30~40,Bachelor
74,AACEEAEI,AE,Female,Marr.,1,36,30~40,Bachelor
75,AACEEASR,PA,Female,Marr.,0,37,30~40,Bachelor
76,AACEEAIE,RBAC,Male,Marr.,0,36,30~40,Bachelor
77,AACEEJIJ,AE,Male,Marr.,1,37,30~40,Technical School
78,AACERCRJ,AE,Male,Marr.,2,39,30~40,College
79,AACERCSA,CI,Male,Marr.,0,40,40~50,College
80,AACERCIQ,BBSD,Male,Marr.,1,42,40~50,Bachelor
81,AACERCUL,RBAC,Male,Marr.,1,45,40~50,College
82,AACERCAS,AE,Female,Marr.,1,37,30~40,College
83,AACERCJR,AE,Male,Marr.,1,50,>=50,Master
84,AACERRLE,AE,Male,Marr.,2,39,30~40,Bachelor
85,AACERRQC,AE,Female,Single,0,35,30~40,Technical School
86,AACERSSR,AE,Male,Marr.,1,42,40~50,Bachelor
87,AACERSUC,RBAC,Female,Single,0,38,30~40,Bachelor
88,AACERSLJ,RBAC,Male,Marr.,1,42,40~50,College
89,AACERIIJ,RBAC,Male,Marr.,1,49,40~50,Technical School
90,AACERUEJ,PA,Male,Marr.,1,43,40~50,Master
91,AACERUAR,AE,Male,Marr.,1,39,30~40,Bachelor
92,AACERUJE,AE,Male,Marr.,1,35,30~40,College
93,AACERLCA,AE,Male,Marr.,1,38,30~40,Technical School
94,AACERLEQ,AE,Male,Marr.,2,39,30~40,College
95,AACERLLR,AE,Male,Marr.,1,49,40~50,Bachelor
96,AACERQSS,AE,Male,Marr.,2,43,40~50,Bachelor
97,AACERQQJ,AE,Male,Marr.,1,43,40~50,Senior High School
98,AACERAAL,CM,Male,Marr.,1,44,40~50,Technical School
99,AACERAJU,AE,Male,Marr.,1,43,40~50,Technical School
100,AACERJCR,AE,Male,Marr.,1,38,30~40,College
101,AACERJEE,AE,Female,Marr.,0,34,30~40,Technical School
102,AACERJSJ,AE,Male,Marr.,2,37,30~40,Bachelor
103,AACESCCC,AE,Male,Marr.,2,36,30~40,Technical School
104,AACESCUU,AE,Male,Marr.,2,38,30~40,College
105,AACESEQE,AE,Male,Marr.,2,39,30~40,Technical School
106,AACESRCL,AE,Female,Marr.,2,37,30~40,College
107,AACESSCI,AE,Male,Marr.,1,40,40~50,College
108,AACESURQ,AE,Female,Marr.,1,37,30~40,Technical School
109,AACESUSL,AE,Male,Marr.,1,36,30~40,Technical School
110,AACESUIU,CC,Male,Single,0,37,30~40,Bachelor
111,AACESULS,AE,Female,Marr.,1,48,40~50,Senior High School
112,AACESLCQ,AE,Female,Marr.,1,37,30~40,College
113,AACESQCU,AE,Male,Marr.,2,35,30~40,Technical School
114,AACESQQA,RBAC,Male,Marr.,1,42,40~50,Technical School
115,AACEICSL,CC,Male,Marr.,1,41,40~50,Bachelor
116,AACEIERU,CM,Male,Marr.,1,43,40~50,Bachelor
117,AACEIEAJ,CP,Female,Marr.,0,41,40~50,Master
118,AACEISSC,CM,Male,Marr.,2,44,40~50,Bachelor
119,AACEISJI,CC,Male,Marr.,1,37,30~40,Bachelor
120,AACEIIIQ,CM,Male,Marr.,0,44,40~50,Bachelor
121,AACEIUQE,CC,Male,Marr.,1,45,40~50,Bachelor
122,AACEIQCI,AE,Male,Marr.,2,43,40~50,Master
123,AACEIQUJ,AE,Female,Marr.,1,40,40~50,Master
124,AACEUCRL,CM,Male,Marr.,1,44,40~50,Bachelor
125,AACEUEEU,CC,Male,Marr.,1,38,30~40,College
126,AACEUEIR,CC,Female,Marr.,1,44,40~50,Master
127,AACEUSSJ,CP,Male,Marr.,0,34,30~40,Technical School
128,AACEUSUQ,AE,Female,Marr.,1,37,30~40,Bachelor
129,AACEUSJS,AE,Male,Marr.,2,34,30~40,College
130,AACEUIRA,AE,Female,Marr.,1,38,30~40,College
131,AACEUISQ,AE,Female,Marr.,1,41,40~50,Bachelor
132,AACEUUEL,AE,Female,Marr.,2,36,30~40,College
133,AACEUUQC,AE,Male,Marr.,1,35,30~40,Bachelor
134,AACEUUAJ,PA,Male,Marr.,1,41,40~50,Master
135,AACEULIE,RBAC,Male,Marr.,1,37,30~40,Bachelor
136,AACELQRC,RBAC,Female,Marr.,0,34,30~40,Bachelor
137,AACEQLER,AE,Male,Marr.,1,36,30~40,Technical School
138,AACRSQAU,CC,Male,Single,0,38,30~40,Bachelor
139,AACRJRSU,AE,Female,Marr.,2,42,40~50,Bachelor
140,AACRJSQJ,RBCD,Female,Single,0,38,30~40,Bachelor
141,AACRJURJ,RBAC,Male,Marr.,2,37,30~40,Bachelor
142,AACRJUUL,AE,Female,Single,0,41,40~50,Bachelor
143,AACSEERI,RBCD,Male,Marr.,1,38,30~40,Master
144,AACSICUC,CC,Male,Marr.,0,39,30~40,Master
145,AACSIISI,CM,Female,Marr.,1,34,30~40,Technical School
146,AACSILCR,CM,Male,Single,0,42,40~50,Senior High School
147,AACSUCUJ,AE,Male,Marr.,1,37,30~40,Technical School
148,AACSLEQI,CM,Male,Marr.,1,41,40~50,Bachelor
149,AACSLRRQ,AE,Male,Marr.,1,39,30~40,Master
150,AACSLSCQ,PA,Male,Marr.,1,39,30~40,Bachelor
151,AACSLSIS,PA,Male,Marr.,1,39,30~40,Technical School
152,AACSLUJS,CM,Male,Marr.,1,37,30~40,Bachelor
153,AACSLAEU,CI,Male,Marr.,1,38,30~40,Bachelor
154,AACSQIUJ,CC,Male,Marr.,1,40,40~50,Technical School
155,AACSQILA,CC,Male,Marr.,0,37,30~40,Master
156,AACSQQEL,CC,Male,Marr.,1,37,30~40,Master
157,AACSACEC,AE,Female,Marr.,1,37,30~40,Bachelor
158,AACSACUL,AE,Female,Marr.,0,36,30~40,College
159,AACSAIER,AE,Male,Marr.,1,39,30~40,College
160,AACSALJJ,AE,Female,Marr.,2,38,30~40,Bachelor
161,AACSAJEE,AE,Female,Marr.,2,36,30~40,College
162,AACSJRSS,AE,Male,Marr.,0,45,40~50,Master
163,AACICLSE,RBAC,Male,Marr.,1,34,30~40,Technical School
164,AACICJAC,AE,Female,Marr.,0,35,30~40,Bachelor
165,AACIEEIC,RBAC,Male,Marr.,1,46,40~50,Senior High School
166,AACIERIA,AE,Female,Marr.,0,28,25~30,Bachelor
167,AACIESRA,RBAC,Male,Marr.,2,43,40~50,Technical School
168,AACIELAU,RBAC,Male,Marr.,2,38,30~40,Technical School
169,AACIEQCE,CI,Male,Marr.,2,38,30~40,Bachelor
170,AACIEQAS,AE,Male,Marr.,1,36,30~40,College
171,AACIEARQ,RBAC,Male,Marr.,1,48,40~50,Technical School
172,AACIEAQR,AE,Female,Marr.,1,34,30~40,Bachelor
173,AACIRIRU,AE,Male,Marr.,2,39,30~40,Senior High School
174,AACIRLEE,AE,Male,Marr.,1,36,30~40,Technical School
175,AACIRLSJ,CC,Male,Single,0,36,30~40,Bachelor
176,AACIRJAA,CC,Male,Marr.,1,37,30~40,Bachelor
177,AACISERC,AE,Male,Marr.,2,36,30~40,Technical School
178,AACISESJ,RBAC,Female,Marr.,1,50,>=50,Bachelor
179,AACISULQ,CC,Male,Marr.,1,33,30~40,College
180,AACIIQRL,CM,Male,Marr.,1,37,30~40,Bachelor
181,AACIIQSU,AE,Female,Marr.,1,41,40~50,Bachelor
182,AACIUCRC,CC,Male,Marr.,1,40,40~50,College
183,AACIUCJS,CM,Female,Marr.,1,53,>=50,College
184,AACIUSLC,AE,Female,Marr.,1,39,30~40,Bachelor
185,AACIUSQJ,RBAC,Male,Marr.,1,39,30~40,Technical School
186,AACIUUIQ,CC,Male,Marr.,0,36,30~40,Master
187,AACIUJQL,CM,Female,Marr.,2,34,30~40,College
188,AACIUJJI,CM,Female,Marr.,1,39,30~40,Technical School
189,AACILSLJ,CC,Female,Marr.,1,36,30~40,Bachelor
190,AACILSAQ,AE,Female,Marr.,1,36,30~40,College
191,AACILIAU,AE,Male,Marr.,1,33,30~40,Bachelor
192,AACILIJI,CC,Male,Marr.,1,41,40~50,Bachelor
193,AACIQSAL,AE,Male,Marr.,1,36,30~40,Master
194,AACIQSJU,RBAC,Female,Marr.,2,39,30~40,Bachelor
195,AACIQJIQ,AE,Male,Marr.,2,34,30~40,Technical School
196,AACIALAA,AE,Female,Marr.,2,36,30~40,Bachelor
197,AACIAQES,AE,Male,Marr.,1,38,30~40,College
198,AACIAASJ,AE,Female,Marr.,3,32,30~40,Technical School
199,AACIJULE,CP,Female,Marr.,2,35,30~40,Bachelor
200,AACIJQCS,AE,Female,Marr.,2,37,30~40,College
201,AACIJQUA,CP,Female,Marr.,1,38,30~40,Bachelor
202,AACIJQLQ,AE,Female,Marr.,1,44,40~50,Bachelor
203,AACIJASA,PA,Male,Marr.,1,36,30~40,Bachelor
204,AACUCSEQ,AE,Male,Marr.,0,38,30~40,College
205,AACUCIEU,AE,Female,Marr.,1,31,30~40,Senior High School
206,AACUCIUE,AE,Male,Marr.,2,37,30~40,Vocational School
207,AACUCIQJ,AE,Male,Marr.,1,33,30~40,Vocational School
208,AACUCJUC,PA,Male,Marr.,1,31,30~40,Bachelor
209,AACUECQL,CC,Female,Marr.,0,39,30~40,Bachelor
210,AACUERRQ,AE,Male,Marr.,0,37,30~40,Bachelor
211,AACUERQR,AA,Female,Marr.,1,40,40~50,College
212,AACUESCQ,AE,Male,Marr.,3,36,30~40,Vocational School
213,AACUESQC,AE,Female,Marr.,1,38,30~40,College
214,AACUESJA,AE,Male,Marr.,2,37,30~40,Vocational School
215,AACUEIUC,PA,Male,Marr.,1,41,40~50,Master
216,AACUEUIA,AE,Male,Marr.,1,48,40~50,Bachelor
217,AACUEACL,AE,Male,Marr.,2,37,30~40,College
218,AACURUSA,AE,Male,Marr.,1,37,30~40,College
219,AACURUUL,PA,Male,Marr.,1,44,40~50,College
220,AACURQUR,AE,Male,Marr.,2,35,30~40,College
221,AACURQLE,AE,Male,Marr.,1,38,30~40,College
222,AACURJRE,AE,Male,Marr.,2,37,30~40,Bachelor
223,AACURJAU,AE,Female,Marr.,1,33,30~40,College
224,AACUSECJ,CP,Female,Marr.,2,48,40~50,College
225,AACUSEUI,RBAC,Male,Marr.,1,44,40~50,Senior High School
226,AACUSELS,PA,Male,Marr.,1,39,30~40,Master
227,AACUICSQ,AE,Male,Marr.,1,38,30~40,Bachelor
228,AACUIREU,AE,Male,Marr.,1,33,30~40,Bachelor
229,AACUIRSS,AE,Female,Marr.,0,37,30~40,Bachelor
230,AACUISCI,RBAC,Female,Marr.,0,39,30~40,College
231,AACUISES,AE,Female,Marr.,2,39,30~40,Bachelor
232,AACUISIC,RBAC,Female,Marr.,1,43,40~50,College
233,AACUIUEA,RBAC,Male,Marr.,2,43,40~50,College
234,AACUIQSR,AE,Female,Marr.,2,36,30~40,College
235,AACUIAAU,AE,Male,Marr.,2,37,30~40,Vocational School
236,AACUUCRQ,AE,Female,Marr.,1,37,30~40,Bachelor
237,AACUUCQR,RBAC,Female,Marr.,2,36,30~40,Bachelor
238,AACUUQIC,AE,Male,Marr.,2,35,30~40,Vocational School
239,AACUUJEJ,RBAC,Male,Marr.,0,37,30~40,College
240,AACULRAL,AE,Female,Marr.,1,37,30~40,College
241,AACULIQS,AE,Male,Marr.,1,35,30~40,College
242,AACULIJE,RBAC,Male,Marr.,1,39,30~40,Senior High School
243,AACULASA,RBAC,Male,Marr.,1,33,30~40,College
244,AACUQRRE,AE,Male,Marr.,1,42,40~50,College
245,AACUQUAA,AE,Male,Marr.,2,33,30~40,Vocational School
246,AACUARQU,CC,Male,Marr.,1,37,30~40,College
247,AACUJSEA,AE,Female,Marr.,2,36,30~40,Vocational School
248,AACUJSLS,AE,Female,Marr.,1,37,30~40,Master
249,AACUJSQR,AE,Male,Marr.,2,36,30~40,College
250,AACUJJAA,CC,Female,Marr.,1,30,30~40,College
251,AACUJJJQ,CC,Male,Marr.,1,37,30~40,Master
252,AACLCRAC,CC,Female,Marr.,1,47,40~50,Bachelor
253,AACLCSAA,PA,Female,Single,0,34,30~40,Bachelor
254,AACLCSJQ,CM,Female,Marr.,1,44,40~50,Bachelor
255,AACLERLE,CC,Male,Marr.,2,38,30~40,Bachelor
256,AACLERAJ,RBAC,Male,Marr.,0,35,30~40,Vocational School
257,AACLEJAI,PA,Male,Marr.,1,36,30~40,Bachelor
258,AACLRLEL,CP,Female,Marr.,1,42,40~50,Bachelor
259,AACLRLIS,AE,Male,Marr.,1,32,30~40,Vocational School
260,AACLIEIR,PA,Male,Marr.,1,41,40~50,Bachelor
261,AACLIAQI,AE,Male,Marr.,2,40,40~50,Bachelor
262,AACLIJAE,CC,Male,Marr.,1,38,30~40,Master
263,AACLIJJC,AE,Female,Marr.,1,34,30~40,College
264,AACLUCJA,AE,Female,Marr.,1,40,40~50,Bachelor
265,AACLUEQA,CC,Female,Marr.,1,36,30~40,Bachelor
266,AACLURER,AE,Female,Marr.,1,42,40~50,Bachelor
267,AACLURUA,AE,Male,Marr.,1,34,30~40,College
268,AACLUSEC,PA,Male,Marr.,1,36,30~40,Bachelor
269,AACLUQUQ,PA,Male,Marr.,1,37,30~40,Bachelor
270,AACLAESJ,CC,Female,Marr.,2,36,30~40,Bachelor
271,AACLASSU,CM,Male,Marr.,1,43,40~50,Bachelor
272,AACLJQQE,AE,Male,Marr.,1,39,30~40,Technical School
273,AACLJQJJ,PA,Male,Marr.,0,30,30~40,Master
274,AACLJAEU,AE,Female,Marr.,0,37,30~40,Bachelor
275,AACQCCSQ,AE,Female,Marr.,1,36,30~40,Vocational School
276,AACQECUI,AE,Male,Marr.,1,39,30~40,Bachelor
277,AACQEUJJ,CC,Male,Marr.,1,46,40~50,College
278,AACQELUE,AE,Male,Marr.,1,38,30~40,Bachelor
279,AACQEQRR,AE,Male,Marr.,1,36,30~40,Bachelor
280,AACQRRAL,CC,Male,Marr.,1,37,30~40,Bachelor
281,AACQRSRC,PA,Male,Marr.,1,37,30~40,Bachelor
282,AACQSCIS,unknown,Male,Marr.,0,36,30~40,Master
283,AACQSCJA,CC,Male,Marr.,1,40,40~50,Bachelor
284,AACQSECU,CC,Male,Marr.,1,41,40~50,Bachelor
285,AACQSEEI,CC,Male,Marr.,1,34,30~40,Master
286,AACQSSUL,AE,Male,Marr.,2,32,30~40,College
287,AACQSICJ,AE,Male,Marr.,2,32,30~40,College
288,AACQSIEA,AE,Male,Marr.,1,33,30~40,College
289,AACQSIUI,CM,Female,Marr.,1,37,30~40,Bachelor
290,AACQSUCL,AE,Female,Marr.,2,32,30~40,College
291,AACQIUQA,AE,Male,Marr.,1,38,30~40,Bachelor
292,AACQIUAQ,CI,Male,Marr.,0,37,30~40,Bachelor
293,AACQIJRU,PA,Male,Marr.,1,32,30~40,Vocational School
294,AACQUEQL,AE,Male,Marr.,2,47,40~50,Senior High School
295,AACQUACA,AE,Female,Marr.,2,37,30~40,Bachelor
296,AACQLLAS,AE,Female,Marr.,1,37,30~40,Bachelor
297,AACQLAJA,PA,Male,Marr.,1,39,30~40,Bachelor
298,AACQLJLJ,AE,Male,Marr.,1,37,30~40,Bachelor
299,AACQAJSC,CC,Female,Marr.,1,45,40~50,Bachelor
300,AACQJSSR,AE,Female,Marr.,1,38,30~40,Master
301,AACQJSUC,AE,Female,Marr.,1,36,30~40,College
302,AACACJEA,AE,Male,Marr.,1,37,30~40,Vocational School
303,AACACJUI,AE,Male,Marr.,1,37,30~40,College
304,AACACJLS,AE,Male,Marr.,2,41,40~50,College
305,AACACJAE,AE,Female,Marr.,2,40,40~50,Bachelor
306,AACAEILS,AE,Male,Marr.,2,39,30~40,College
307,AACAEIQR,AE,Male,Marr.,1,36,30~40,College
308,AACAEAEJ,AE,Male,Marr.,1,40,40~50,Master
309,AACARISU,PA,Male,Marr.,1,45,40~50,Bachelor
310,AACARUIE,CM,Male,Marr.,2,40,40~50,Bachelor
311,AACASSEA,AE,Female,Marr.,1,35,30~40,College
312,AACASLAI,PA,Female,Marr.,1,40,40~50,Bachelor
313,AACASQIL,AE,Male,Marr.,0,38,30~40,Master
314,AACAIEEE,AE,Male,Marr.,1,34,30~40,Vocational School
315,AACAISSU,AE,Female,Single,0,35,30~40,Master
316,AACAILEC,RBAC,Male,Marr.,2,34,30~40,Vocational School
317,AACAUEQI,CC,Male,Marr.,2,33,30~40,Vocational School
318,AACAUQEQ,CP,Female,Marr.,1,40,40~50,College
319,AACALICI,AE,Female,Marr.,1,36,30~40,Bachelor
320,AACALUUL,CC,Male,Marr.,1,42,40~50,Bachelor
321,AACALUAS,CC,Male,Single,0,37,30~40,Bachelor
322,AACAQSRS,AE,Male,Marr.,1,37,30~40,Bachelor
323,AACAQISC,ED,Female,Marr.,2,36,30~40,Bachelor
324,AACAQJQU,AE,Female,Marr.,2,35,30~40,Master
325,AACAAQUC,CC,Male,Marr.,1,37,30~40,Bachelor
326,AACAAQQA,CC,Female,Marr.,2,40,40~50,Bachelor
327,AACAJQCI,RBAC,Female,Marr.,1,32,30~40,Vocational School
328,AACJEREC,CC,Male,Marr.,2,36,30~40,Master
329,AACJESCJ,AE,Male,Marr.,1,34,30~40,Vocational School
330,AACJRAIS,CC,Female,Marr.,0,31,30~40,Technical School
331,AACJRJCU,CC,Female,Marr.,1,30,30~40,Vocational School
332,AACJSSUR,RBAC,Female,Marr.,2,37,30~40,Bachelor
333,AACJSISR,AE,Female,Marr.,1,43,40~50,College
334,AACJSJAL,CC,Male,Marr.,1,30,30~40,Senior High School
335,AACJUCRJ,AE,Male,Marr.,0,35,30~40,Bachelor
336,AACJUQEU,PA,Female,Marr.,1,35,30~40,Master
337,AACJLSJU,RBAC,Female,Marr.,1,35,30~40,Master
338,AACJLUEA,CC,Female,Single,0,36,30~40,Bachelor
339,AACJQRIE,AE,Female,Marr.,1,32,30~40,Bachelor
340,AACJACEQ,CC,Male,Marr.,1,35,30~40,Bachelor
341,AACJARJU,RBAC,Male,Marr.,1,35,30~40,Bachelor
342,AACJAJCJ,AE,Male,Marr.,1,37,30~40,Bachelor
343,AACJJQJS,CC,Female,Marr.,1,33,30~40,Bachelor
344,AACJJJCA,CC,Male,Marr.,1,36,30~40,Master
345,AAECCECR,AE,Male,Marr.,1,35,30~40,Vocational School
346,AAECCIIR,AE,Female,Marr.,2,32,30~40,College
347,AAECCILC,AE,Female,Marr.,1,36,30~40,Bachelor
348,AAECCUER,AE,Male,Marr.,1,36,30~40,Bachelor
349,AAECCURE,AE,Male,Marr.,1,42,40~50,Bachelor
350,AAECCLIQ,AE,Female,Marr.,0,38,30~40,Bachelor
351,AAECCQIU,CC,Female,Marr.,1,37,30~40,College
352,AAECELCC,CC,Male,Marr.,1,35,30~40,Master
353,AAECELSQ,AE,Male,Marr.,1,34,30~40,College
354,AAECEAIR,AE,Male,Marr.,1,35,30~40,Technical School
355,AAECEAAA,CI,Male,Marr.,1,31,30~40,College
356,AAECEAJQ,RBAC,Male,Marr.,1,35,30~40,Bachelor
357,AAECRRAC,AE,Male,Marr.,1,38,30~40,Bachelor
358,AAECRRJJ,CP,Male,Marr.,1,41,40~50,Master
359,AAECRSSS,AE,Female,Single,0,33,30~40,College
360,AAECRJJI,CC,Female,Marr.,0,35,30~40,Bachelor
361,AAECSCSA,AE,Female,Marr.,1,41,40~50,Bachelor
362,AAECSCQI,RBAC,Male,Marr.,2,36,30~40,Bachelor
363,AAECSIUA,CM,Female,Marr.,1,32,30~40,Bachelor
364,AAECSLLR,AE,Female,Marr.,2,38,30~40,Bachelor
365,AAECSARR,AE,Male,Marr.,2,35,30~40,Master
366,AAECSAAL,AE,Female,Marr.,2,36,30~40,Bachelor
367,AAECISIC,AE,Female,Marr.,1,30,30~40,Bachelor
368,AAECIQAQ,CM,Female,Marr.,1,33,30~40,Bachelor
369,AAECIAER,CI,Male,Marr.,1,42,40~50,College
370,AAECIAUA,AE,Male,Marr.,1,38,30~40,Bachelor
371,AAECIAJI,AE,Female,Marr.,2,37,30~40,Bachelor
372,AAECIJCE,AE,Female,Marr.,2,40,40~50,Vocational School
373,AAECIJIQ,AE,Male,Marr.,1,32,30~40,College
374,AAECUCSL,AA,Female,Marr.,1,46,40~50,Master
375,AAECUCUI,CC,Female,Single,0,35,30~40,Master
376,AAECUEIS,CC,Male,Marr.,0,38,30~40,Bachelor
377,AAECUEJA,AE,Male,Marr.,0,41,40~50,Master
378,AAECUIQI,PA,Male,Marr.,0,37,30~40,Bachelor
379,AAECUARC,AE,Male,Marr.,1,37,30~40,College
380,AAECLSCR,CM,Male,Marr.,1,36,30~40,Bachelor
381,AAECLSLL,RBCD,Male,Marr.,1,41,40~50,Bachelor
382,AAECLIQS,AE,Male,Marr.,0,30,30~40,College
383,AAECLIAR,AE,Male,Marr.,2,32,30~40,College
384,AAECLIJE,CC,Male,Marr.,1,38,30~40,Master
385,AAECLQLQ,CC,Female,Marr.,1,40,40~50,Bachelor
386,AAECQIJC,AE,Male,Marr.,1,37,30~40,Bachelor
387,AAECQUQJ,AE,Male,Marr.,2,37,30~40,College
388,AAECQLRR,PA,Male,Marr.,1,38,30~40,Bachelor
389,AAECQLJU,RBAC,Male,Marr.,1,45,40~50,Technical School
390,AAECQQCR,CC,Male,Marr.,0,35,30~40,Master
391,AAECQQAI,AE,Female,Marr.,2,38,30~40,Bachelor
392,AAECAICA,RBAC,Male,Marr.,2,38,30~40,College
393,AAECAIUS,AE,Male,Marr.,1,36,30~40,College
394,AAECAUCU,RBAC,Male,Marr.,2,37,30~40,Vocational School
395,AAECAUEI,AE,Female,Marr.,1,35,30~40,Bachelor
396,AAECAUSR,CC,Male,Marr.,0,37,30~40,Master
397,AAECJCJL,AE,Female,Marr.,0,37,30~40,Bachelor
398,AAECJISI,AE,Male,Single,1,32,30~40,College
399,AAECJIUR,AE,Male,Marr.,2,33,30~40,Bachelor
400,AAECJILE,AE,Male,Marr.,1,38,30~40,College
401,AAECJJSS,AE,Female,Marr.,1,42,40~50,College
402,AAEECUAS,AE,Male,Marr.,1,36,30~40,Bachelor
403,AAEEEECJ,AE,Male,Marr.,1,39,30~40,Bachelor
404,AAEEEQRI,RBCD,Male,Marr.,1,35,30~40,Master
405,AAEERELR,CC,Female,Marr.,2,39,30~40,Bachelor
406,AAEEREQE,PA,Male,Marr.,1,33,30~40,
407,AAEERRCL,AE,Female,Marr.,1,36,30~40,Bachelor
408,AAEERRRI,CC,Male,Marr.,1,36,30~40,Bachelor
409,AAEERRLC,AE,Male,Marr.,1,32,30~40,College
410,AAEERSQQ,AE,Male,Marr.,1,33,30~40,Bachelor
411,AAEERSAL,AE,Male,Marr.,1,34,30~40,Technical School
412,AAEERSJU,AE,Male,Single,0,42,40~50,College
413,AAEERUIU,CC,Male,Marr.,0,34,30~40,Master
414,AAEESLQJ,AE,Male,Marr.,1,37,30~40,Bachelor
